[2026-07-27 06:37:30,571] Using g1_smplx body model
[2026-07-27 06:42:38,395] static_cam - init_opt |   15/400 | keypoint_tracking:   2.788 | human_smoothness:   0.111 | human_pose_reg:   0.022 | human_foot_contact:   0.032 | human_global_init_reg:   0.009 | verts_tracking:   0.138 | obj_smoothness:   0.396 | depth_pointcloud:   1.368
[2026-07-27 06:42:38,786] static_cam - init_opt |   16/400 | keypoint_tracking:   2.779 | human_smoothness:   0.111 | human_pose_reg:   0.022 | human_foot_contact:   0.031 | human_global_init_reg:   0.009 | verts_tracking:   0.125 | obj_smoothness:   0.382 | depth_pointcloud:   1.321
[2026-07-27 06:42:39,179] static_cam - init_opt |   17/400 | keypoint_tracking:   2.782 | human_smoothness:   0.111 | human_pose_reg:   0.024 | human_foot_contact:   0.031 | human_global_init_reg:   0.010 | verts_tracking:   0.123 | obj_smoothness:   0.380 | depth_pointcloud:   1.278
[2026-07-27 06:42:39,564] static_cam - init_opt |   18/400 | keypoint_tracking:   2.787 | human_smoothness:   0.111 | human_pose_reg:   0.025 | human_foot_contact:   0.031 | human_global_init_reg:   0.010 | verts_tracking:   0.122 | obj_smoothness:   0.380 | depth_pointcloud:   1.237
[2026-07-27 06:42:39,951] static_cam - init_opt |   19/400 | keypoint_tracking:   2.784 | human_smoothness:   0.111 | human_pose_reg:   0.026 | human_foot_contact:   0.032 | human_global_init_reg:   0.009 | verts_tracking:   0.122 | obj_smoothness:   0.376 | depth_pointcloud:   1.199
[2026-07-27 06:42:40,337] static_cam - init_opt |   20/400 | keypoint_tracking:   2.770 | human_smoothness:   0.111 | human_pose_reg:   0.026 | human_foot_contact:   0.032 | human_global_init_reg:   0.009 | verts_tracking:   0.122 | obj_smoothness:   0.371 | depth_pointcloud:   1.164
[2026-07-27 06:42:40,724] static_cam - init_opt |   21/400 | keypoint_tracking:   2.744 | human_smoothness:   0.111 | human_pose_reg:   0.028 | human_foot_contact:   0.032 | human_global_init_reg:   0.009 | verts_tracking:   0.118 | obj_smoothness:   0.367 | depth_pointcloud:   1.132
[2026-07-27 06:42:41,106] static_cam - init_opt |   22/400 | keypoint_tracking:   2.712 | human_smoothness:   0.111 | human_pose_reg:   0.030 | human_foot_contact:   0.032 | human_global_init_reg:   0.010 | verts_tracking:   0.116 | obj_smoothness:   0.366 | depth_pointcloud:   1.102
[2026-07-27 06:42:41,489] static_cam - init_opt |   23/400 | keypoint_tracking:   2.681 | human_smoothness:   0.110 | human_pose_reg:   0.031 | human_foot_contact:   0.032 | human_global_init_reg:   0.010 | verts_tracking:   0.117 | obj_smoothness:   0.365 | depth_pointcloud:   1.075
[2026-07-27 06:42:41,881] static_cam - init_opt |   24/400 | keypoint_tracking:   2.658 | human_smoothness:   0.110 | human_pose_reg:   0.032 | human_foot_contact:   0.032 | human_global_init_reg:   0.010 | verts_tracking:   0.118 | obj_smoothness:   0.362 | depth_pointcloud:   1.050
[2026-07-27 06:42:42,270] static_cam - init_opt |   25/400 | keypoint_tracking:   2.643 | human_smoothness:   0.110 | human_pose_reg:   0.033 | human_foot_contact:   0.032 | human_global_init_reg:   0.011 | verts_tracking:   0.117 | obj_smoothness:   0.356 | depth_pointcloud:   1.027
[2026-07-27 06:42:42,654] static_cam - init_opt |   26/400 | keypoint_tracking:   2.635 | human_smoothness:   0.110 | human_pose_reg:   0.034 | human_foot_contact:   0.032 | human_global_init_reg:   0.011 | verts_tracking:   0.116 | obj_smoothness:   0.353 | depth_pointcloud:   1.005
[2026-07-27 06:42:43,043] static_cam - init_opt |   27/400 | keypoint_tracking:   2.630 | human_smoothness:   0.111 | human_pose_reg:   0.035 | human_foot_contact:   0.033 | human_global_init_reg:   0.011 | verts_tracking:   0.114 | obj_smoothness:   0.356 | depth_pointcloud:   0.985
[2026-07-27 06:42:43,434] static_cam - init_opt |   28/400 | keypoint_tracking:   2.625 | human_smoothness:   0.111 | human_pose_reg:   0.037 | human_foot_contact:   0.033 | human_global_init_reg:   0.012 | verts_tracking:   0.114 | obj_smoothness:   0.355 | depth_pointcloud:   0.966
[2026-07-27 06:42:43,817] static_cam - init_opt |   29/400 | keypoint_tracking:   2.619 | human_smoothness:   0.111 | human_pose_reg:   0.038 | human_foot_contact:   0.034 | human_global_init_reg:   0.013 | verts_tracking:   0.115 | obj_smoothness:   0.351 | depth_pointcloud:   0.949
[2026-07-27 06:42:44,199] static_cam - init_opt |   30/400 | keypoint_tracking:   2.609 | human_smoothness:   0.112 | human_pose_reg:   0.039 | human_foot_contact:   0.034 | human_global_init_reg:   0.013 | verts_tracking:   0.114 | obj_smoothness:   0.346 | depth_pointcloud:   0.931
[2026-07-27 06:42:44,581] static_cam - init_opt |   31/400 | keypoint_tracking:   2.597 | human_smoothness:   0.112 | human_pose_reg:   0.040 | human_foot_contact:   0.034 | human_global_init_reg:   0.014 | verts_tracking:   0.114 | obj_smoothness:   0.346 | depth_pointcloud:   0.915
[2026-07-27 06:42:44,965] static_cam - init_opt |   32/400 | keypoint_tracking:   2.583 | human_smoothness:   0.112 | human_pose_reg:   0.041 | human_foot_contact:   0.034 | human_global_init_reg:   0.015 | verts_tracking:   0.112 | obj_smoothness:   0.346 | depth_pointcloud:   0.899
[2026-07-27 06:42:45,349] static_cam - init_opt |   33/400 | keypoint_tracking:   2.569 | human_smoothness:   0.112 | human_pose_reg:   0.043 | human_foot_contact:   0.035 | human_global_init_reg:   0.015 | verts_tracking:   0.114 | obj_smoothness:   0.345 | depth_pointcloud:   0.883
[2026-07-27 06:42:45,734] static_cam - init_opt |   34/400 | keypoint_tracking:   2.558 | human_smoothness:   0.113 | human_pose_reg:   0.044 | human_foot_contact:   0.035 | human_global_init_reg:   0.016 | verts_tracking:   0.117 | obj_smoothness:   0.342 | depth_pointcloud:   0.867
[2026-07-27 06:42:46,120] static_cam - init_opt |   35/400 | keypoint_tracking:   2.551 | human_smoothness:   0.113 | human_pose_reg:   0.045 | human_foot_contact:   0.035 | human_global_init_reg:   0.016 | verts_tracking:   0.117 | obj_smoothness:   0.345 | depth_pointcloud:   0.852
[2026-07-27 06:42:46,502] static_cam - init_opt |   36/400 | keypoint_tracking:   2.546 | human_smoothness:   0.113 | human_pose_reg:   0.046 | human_foot_contact:   0.035 | human_global_init_reg:   0.017 | verts_tracking:   0.117 | obj_smoothness:   0.343 | depth_pointcloud:   0.837
[2026-07-27 06:42:46,884] static_cam - init_opt |   37/400 | keypoint_tracking:   2.544 | human_smoothness:   0.113 | human_pose_reg:   0.048 | human_foot_contact:   0.036 | human_global_init_reg:   0.017 | verts_tracking:   0.117 | obj_smoothness:   0.339 | depth_pointcloud:   0.824
[2026-07-27 06:42:47,268] static_cam - init_opt |   38/400 | keypoint_tracking:   2.541 | human_smoothness:   0.113 | human_pose_reg:   0.049 | human_foot_contact:   0.036 | human_global_init_reg:   0.017 | verts_tracking:   0.121 | obj_smoothness:   0.340 | depth_pointcloud:   0.810
[2026-07-27 06:42:47,655] static_cam - init_opt |   39/400 | keypoint_tracking:   2.537 | human_smoothness:   0.113 | human_pose_reg:   0.050 | human_foot_contact:   0.036 | human_global_init_reg:   0.017 | verts_tracking:   0.120 | obj_smoothness:   0.339 | depth_pointcloud:   0.798
[2026-07-27 06:42:48,041] static_cam - init_opt |   40/400 | keypoint_tracking:   2.531 | human_smoothness:   0.113 | human_pose_reg:   0.051 | human_foot_contact:   0.036 | human_global_init_reg:   0.017 | verts_tracking:   0.119 | obj_smoothness:   0.337 | depth_pointcloud:   0.785
[2026-07-27 06:42:48,434] static_cam - init_opt |   41/400 | keypoint_tracking:   2.524 | human_smoothness:   0.113 | human_pose_reg:   0.052 | human_foot_contact:   0.037 | human_global_init_reg:   0.017 | verts_tracking:   0.123 | obj_smoothness:   0.337 | depth_pointcloud:   0.773
[2026-07-27 06:42:48,820] static_cam - init_opt |   42/400 | keypoint_tracking:   2.517 | human_smoothness:   0.113 | human_pose_reg:   0.053 | human_foot_contact:   0.037 | human_global_init_reg:   0.018 | verts_tracking:   0.124 | obj_smoothness:   0.337 | depth_pointcloud:   0.761
[2026-07-27 06:42:49,204] static_cam - init_opt |   43/400 | keypoint_tracking:   2.511 | human_smoothness:   0.113 | human_pose_reg:   0.054 | human_foot_contact:   0.037 | human_global_init_reg:   0.018 | verts_tracking:   0.123 | obj_smoothness:   0.336 | depth_pointcloud:   0.750
[2026-07-27 06:42:49,587] static_cam - init_opt |   44/400 | keypoint_tracking:   2.507 | human_smoothness:   0.113 | human_pose_reg:   0.055 | human_foot_contact:   0.037 | human_global_init_reg:   0.018 | verts_tracking:   0.127 | obj_smoothness:   0.336 | depth_pointcloud:   0.739
[2026-07-27 06:42:49,983] static_cam - init_opt |   45/400 | keypoint_tracking:   2.503 | human_smoothness:   0.113 | human_pose_reg:   0.056 | human_foot_contact:   0.037 | human_global_init_reg:   0.019 | verts_tracking:   0.127 | obj_smoothness:   0.334 | depth_pointcloud:   0.728
[2026-07-27 06:42:50,370] static_cam - init_opt |   46/400 | keypoint_tracking:   2.500 | human_smoothness:   0.114 | human_pose_reg:   0.058 | human_foot_contact:   0.037 | human_global_init_reg:   0.019 | verts_tracking:   0.129 | obj_smoothness:   0.334 | depth_pointcloud:   0.717
